bb,iaca.hsw,llvm-mca.13-r+a.hsw,llvm-mca.9-r+a.hsw,llvm-mca.8-r+a.hsw,uica.hsw,osaca.0.4.6.hsw,ithemal.bhive.hsw,difftune.artifact.hsw
c4637d056f402ac57810968000000066c187800000002ac521f9cec4e2c19f6740,5.0,5.1,8.11,5.1,6.0,1.5,6.31059204102,4.06
c4e279797540c07f402ac462e9acc066c1a7800000002a41c1ee00,4.95,5.05,14.12,5.05,6.0,6.0,7.2520849609399995,4.04
66440f757e4066410fbae62ac5e5659d80000000c50351df66440f3800f2,14.0,14.12,14.12,14.12,8.0,14.0,9.73563964844,8.04
c4e345066d402a66440f6f7e4066440f648e80000000f2450f5effc4e239bc5640,14.0,14.15,14.15,14.15,8.0,14.0,12.0013708496,6.07
0f287640f20f514f4066ff4d40c5d16b4540f2440f12ed,14.0,16.08,16.15,14.1,8.0,14.0,9.76627868652,3.04
490f47d9c50b5e6540c463fd00e12ac4427d58edc4413559f7,13.97,14.16,14.16,14.16,8.0,14.0,11.6652111816,6.03
440f5b8e800000004183d62a66f7e3660f382bdcc4627d399f80000000,3.8,5.03,5.03,5.03,5.0,2.0,4.7597637939499995,3.99
c5635d8f80000000c4e279786d40f65d40c5792ef3c5f82e4e40,2.95,3.11,7.13,3.11,6.0,3.0,7.352296142579999,2.06
c5fd62eb668376402a66440f5ca58000000066a92a00c4c17951db,13.95,14.07,14.07,14.07,8.0,14.0,6.1228723144499995,4.02
f3410f2ac4c4e2792bf8c57e5bcc0f51af80000000c4416016c9,7.0,7.14,7.14,7.14,7.0,7.0,7.27090270996,5.06
c4e23d39a680000000440fc6e92ac4e21d39c1c585f84d4048ff8f80000000,2.0,3.09,7.12,3.09,6.0,6.0,12.6535461426,6.04
c4e2259c96800000004431ad80000000490fbaeb004883e82a660f73f02a,5.0,5.1,7.15,5.1,6.0,6.0,6.3836315918,5.05
c4627d1def0f517f400f5c8e800000004c0fb7d90400,6.96,7.13,7.13,7.13,7.0,7.0,4.410440979,6.03
c4418a2af1c545f64d4066410f3a41d42a490f48c5c443fd01c02a,9.0,9.21,9.21,9.21,9.0,5.0,3.71494873047,4.02
4983f100c9c5fe5b5740c44125e5e966440febf7,8.0,7.03,7.03,7.03,6.0,1.25,8.954407958980001,6.04
8345402ac4627d308e80000000c4c3494cd8a0c5b16db680000000c5b9dbeb,4.0,4.09,7.08,4.09,6.0,6.0,6.274547119139999,14.03
c4e2a9bdbf80000000f66e40c59a5c5540c53d68e566440ffefd,5.0,5.08,5.08,5.08,5.0,2.0,9.9550769043,4.04
c4e201bfd0c46289ab55403c00660fdff8c4411114fc,4.97,5.08,5.08,5.08,5.0,5.0,5.03970153809,2.06
c4c229abd0c442cd9cdec443fd01ff2a66440f51dd66450f6eca,14.0,14.06,14.06,14.06,8.0,14.0,4.77237915039,6.04
c4623d9a6f4048f7e8f6858000000000c46215985f404983d52a,5.52,5.15,5.15,5.15,5.24,5.0,2.66389160156,6.02
c443494cff70660f76ad8000000066410f3820effe8e80000000f2440f5ea580000000,14.0,20.1,20.1,20.1,8.0,14.0,11.772286377,6.07
c46221ba7540664d0f6ec9c4c17dd8f966410f72e12af3480fbc5d40,5.0,5.09,5.09,5.09,5.0,5.0,2.64637359619,4.08
4c0f489580000000410f59f40f136640c5bd54af800000004c11ca,4.95,7.03,7.04,5.03,5.0,5.0,5.4864855957,4.05
c4437916de2ac5bd73d62a660f3a0e5f402ac463750df72a80a7800000002a,2.0,3.09,7.11,3.09,6.0,6.0,5.91257202148,6.04
c4e23904f2660f73d02af3440f7e7d40c5cdc64e402ac4c26900f8,1.85,2.1,2.1,2.1,2.0,2.0,2.71196136475,6.02
c5625cc3660f72d22ac46229ac4e40660f17bf80000000c46221bdae80000000,5.0,5.1,5.11,5.11,5.0,2.0,10.4427185059,5.05
660f3830bf80000000f30f5d7640c46265404d40c510c665402a660f556540,2.75,3.18,3.18,3.18,4.0,3.0,8.299851074220001,7.05
c50556be80000000c5125dbd80000000410f44de48f79e80000000660f646640,2.0,3.1,7.11,3.1,6.0,2.0,6.085241699220001,5.03
0fc676402ac5c16a6640c462e8f26e4066410f62db66410f5efd,14.0,20.04,20.04,20.04,10.0,14.0,16.1883068848,4.04
80ad800000000066410f72e62ac5dddf4640c59114a680000000660f6b8d80000000,2.0,3.09,7.06,3.09,6.0,6.0,6.27939575195,6.04
c4e27979dc660fbcc0664183d300c59dfe9e80000000c55d658f80000000,2.9,3.04,3.04,3.05,3.0,3.0,2.88306152344,4.03
