bb,iaca.hsw,llvm-mca.13-r+a.hsw,llvm-mca.9-r+a.hsw,llvm-mca.8-r+a.hsw,uica.hsw,osaca.0.4.6.hsw,ithemal.bhive.hsw,difftune.artifact.hsw
0f4e8f8000000066410f3828cd66410f6eecc4c11971d12a490f45c9,4.95,9.03,9.03,7.05,5.0,5.0,3.3750402831999997,5.04
c51ddece66440f679680000000c0a680000000004983d32af3440f7eee,1.75,3.1,7.13,3.1,6.0,6.0,6.048535766600001,5.05
c52156e3c463010d4e402a660f4d8f800000009866410f73d32a,1.71,7.04,7.04,2.09,3.0,1.67,4.27233551025,4.06
0f4f4d40660f3829e9480f499e80000000c4e32538be800000002ac4e27d18f5,2.0,7.04,7.04,3.09,3.0,2.0,2.38200714111,4.07
66440fda6640450f57e7660feb5740c4e1f96ed2c4c1f97eeb,1.95,7.04,7.04,7.04,2.0,2.0,4.606910400389999,3.06
66440ffc474041f7ed440f134e40f2440f10a5800000004c0f42ae80000000,4.0,11.04,11.04,11.04,5.0,1.5,3.2708587646500002,4.08
48f7a7800000006683b5800000002ac561d49e80000000c589e08f8000000083c02a,4.0,9.05,9.75,9.31,6.0,1.5,6.666799316410001,5.05
c5ca5a4f40c5a35f76400f4f9e800000004d0fbce266450fd8ed,1.85,7.04,7.04,3.12,3.0,2.0,10.6094421387,5.07
83f02a480fba6740002c2a48c185800000002a664183c32a,1.74,3.09,8.09,3.09,6.0,2.0,6.064968261720001,4.06
66410fdfd7c1a5800000002a49c1fd00c549c6c02af24c0f2cc1,1.75,3.08,7.04,3.08,6.0,6.0,6.05557861328,8.99
c595fddb450f2fd6ff8680000000440f47ae8000000048f7ea,3.86,8.11,15.04,4.22,6.13,6.0,6.523231201170001,5.05
c4417855c2c5545ce7c4417ddac9c5dd63a780000000c167402a,1.82,3.09,7.13,3.09,6.0,6.0,5.98087768555,4.03
c4e245044e4048c147402ac4e2610de6f20f586f40c5fe5beb,1.74,3.12,8.15,3.12,6.0,2.0,6.80062011719,8.03
c44165defd0f558f80000000f2410f5adc83be800000002a0fc267402a,3.0,5.04,5.04,3.14,3.0,2.5,8.986465454100001,3.06
c519dcdac4e379165d402ac5f828b78000000066440fdcbf800000004c316e40,1.81,3.09,9.09,3.09,6.0,6.0,5.94833984375,4.07
66440f766f406641c1ec00660fbaf12a4883e82a4c0f435e40,1.49,7.05,7.05,2.1,3.0,2.0,1.65435623169,4.05
f30f5acec4e37916b5800000002a660f7e9580000000c4414dd5e2660f404f40,2.0,7.06,7.06,4.09,3.0,3.0,2.26294616699,4.04
4c0f466d4083f82a66440fd4e8c4417c5bd066440f3a229d800000002a,1.95,8.03,8.03,3.08,4.0,2.0,3.44404785156,3.04
0f9886800000008056402a66440f749580000000c5a9e0bd80000000f75640,2.86,10.03,18.03,9.05,13.0,7.0,6.65114379883,4.04
f24c0f2ac166410f70dd2a66835540000f565640660fbaaf800000002a,2.78,8.06,16.04,4.14,7.0,7.0,7.83293457031,4.05
f3450f7ed5c5c9595f40c645402a6683d32a6a2a,1.72,3.11,3.14,3.14,2.0,2.0,3.2036807251,2.05
f20f12d0410fb7ce66ff4f4066450f4de8440f4e6740,1.95,8.1,14.09,3.15,6.13,6.0,5.9564196777300005,5.08
660f5fa6800000004883978000000000c531c2b5800000002ac462a9b84e40c4c10165d3,5.0,9.04,9.12,9.04,7.0,7.0,6.22040893555,5.04
660f3a0f75402ac5d014db490f43c9f20f108d80000000c4e2d9999d80000000,6.0,10.05,10.05,10.05,6.0,6.0,5.1226690673799995,2.05
c4c14defe1c4415160e583878000000000c4e2410d7640c1868000000000,2.21,4.1,15.05,4.1,6.0,6.0,8.01711791992,12.0
660fddbf80000000664183c32ac5c9f98f8000000066410ffdd1488367402a,1.51,3.09,7.11,3.09,6.0,6.0,6.25737792969,3.05
66440f3a0b85800000002a6644236f40660f2e8d80000000490f44d2c44139f5fc,3.0,6.14,3.17,3.17,4.0,3.0,7.47346801758,4.05
66440fbd5d404c0f4c9e8000000066440f68ebc4414559fe48139d80000000,1.95,7.11,7.11,3.15,5.0,2.0,2.48958053589,5.03
480fbae100c5f828ae80000000c4c17b2cc266440fd46f40c441005ef6,7.0,13.04,13.04,13.04,10.0,13.0,9.02891906738,4.05
c5bdd4d23c0066410fbaf42a48c14f4000c579104f40,1.74,3.09,8.04,3.09,6.0,1.5,5.68545593262,3.04
0f5edf410fc866440fd4b7800000006683774000c4e2c5a84e40,6.47,13.03,13.03,13.03,10.0,7.0,11.2968518066,3.05
480f4d8780000000c5fd70da2ac4620502c34183c900c4637d0547402a,3.88,7.03,7.03,4.11,4.0,4.0,2.67538452148,9.04
c4e33d0295800000002a8355402a660f3a0eaf800000002af69e8000000066410f4cc6,3.0,8.16,16.16,4.15,7.0,7.0,5.946383056639999,4.06
668b8780000000f3490f2afe4983d100c5e1ee4640410fbaf000,2.0,5.03,5.03,3.08,4.0,2.0,4.71584106445,4.07
f75540c5715c7740c5b1eef3c462791d7d406652,1.78,4.09,9.06,4.11,6.03,5.0,6.43621765137,6.06
c07e400048034740c4637d056f402a660fbaeb00c54059c5,1.74,3.09,7.06,3.09,6.0,1.25,6.415471191410001,3.07
4883a7800000000066410f73fd2a4c0f474f40c5bd72d02a450f55c1,2.0,8.1,15.03,3.15,6.0,6.0,6.22200256348,6.06
c4c15c55fec51c599680000000f2480f2ad066440fbd5f4049f7d0,1.84,4.04,4.04,2.13,3.0,2.0,3.67451202393,2.09
c553599f80000000c521d5c9410f16dd6644118780000000c58573f52a,2.0,4.09,9.13,9.04,7.0,7.0,6.43732421875,4.05
c5085c6d40c4c13158fec4c109ebc36658c4411414ff,1.68,6.04,6.04,6.04,2.0,2.0,2.13977157593,2.05
660fe67640f30f2ac1c5925af84883d12a488375402a,2.52,5.06,7.13,4.12,6.0,3.0,7.01983886719,7.05
410fbae30049c1fc00660fbc4e4048c1bd8000000000c561c6f82a,1.49,3.08,7.11,3.08,6.0,1.5,6.41072509766,5.02
66450f5afa66440f4e6d40c59d66f144135d40f34d0f2ac2,2.75,7.05,7.9,7.9,3.98,3.0,3.2531155395500004,3.06
664155c57016be80000000488395800000002a440f55ddc4c11d71d12a,2.26,9.05,11.08,10.04,7.0,7.0,6.667238769529999,5.05
4883e82a66440ffe6740f3440f2caf800000004429464083e200,1.74,3.1,7.13,3.1,6.0,5.0,6.20054199219,6.04
66440ffebf80000000c4c11159dc660f58ad80000000664d0f3a22c12af3410f5fef,6.0,10.06,10.06,10.06,6.0,8.0,10.4489733887,3.04
c5c9696f40c4c17166d9836e402af3440fb84640c4411168c4,1.84,3.1,7.1,3.1,6.0,6.0,7.802171020509999,14.96
c5d1d49680000000660fba6f402a0f5bd94883f200c4e279795d40,2.0,4.11,7.1,4.11,6.0,6.0,6.05323608398,5.07
66440f4e4640c44131f9fd664183cd00c463614c67401066f30fbc5e40,2.0,7.06,7.06,3.14,3.0,2.0,9.244996337889999,2.56
808780000000004c0f489d800000006683e000c4c16968f1c4e30d06ff2a,2.9,7.1,14.03,3.14,6.0,6.0,6.195930175779999,5.07
c4e1fa2cd9c57a584540c51dd5774083654000490fbae42a,1.81,3.13,7.16,3.13,6.0,6.0,8.42572387695,9.03
66450f3a0bdd2a0f5ab780000000c5cdf9e1c4c13973d12ac18e800000002a,2.0,6.03,8.09,3.1,6.0,2.0,6.95772460938,6.05
66c1af8000000000f7ae8000000066c167402ac5f8287540660f12af80000000,3.0,6.06,14.06,6.06,6.0,6.0,6.40254821777,5.05
c4c27918d3668396800000002ac4e2dd988d80000000c561d2f64c0f4cc0,4.95,9.06,9.1,9.06,7.0,7.0,6.0312097168,5.05
c559635e406683564000660ffcad800000004883d300c442b9f7e5,2.26,10.04,10.1,11.04,7.0,7.0,6.2878112793000005,6.04
c515f9ad8000000048c166402ac443514acf20c50c58a580000000fe4640,2.0,4.11,14.11,4.11,12.0,12.0,6.90608886719,7.07
f3450f5af2c56ddcb68000000066410f57d666410f63eaf3440f5ac6,3.85,8.04,8.04,8.04,4.0,4.0,3.15053894043,5.02
c5f82eae800000004c314f4066450f74f566440fd4d066440fdd7d40,1.84,3.09,7.11,3.09,6.0,6.0,6.53351989746,5.07
4c8d75406683f02a6683bd800000002a66440f706e402a66440f4d9580000000,1.71,7.09,7.09,3.13,3.0,1.5,1.8646788024899998,2.04
c5fc594640410f14c3c4e27920b580000000c441795ac0668385800000002a,6.0,12.04,12.1,12.04,6.0,6.0,6.875554199220001,7.03
c4e205466e40c146400066440f1287800000004183d52a66490f7ed6,2.83,6.05,8.17,6.05,6.0,3.0,6.4029864502,6.03
6683564000c462791d6f40c5016bae80000000f2440f5a9f80000000c4c2119df1,5.0,9.06,9.56,9.03,7.0,7.0,6.56637573242,3.06
c54d638580000000c4c17d50c6c5a9fcf0c4c17970fd2a668395800000002a,2.0,9.05,9.11,9.05,7.0,7.0,5.98049499512,3.05
4c0f4f75406683c82a660f685540c4c13a58dac5c960f1,1.85,7.03,7.03,2.09,2.0,2.0,8.00277770996,7.03
410fc6e62ac57169e748f79680000000440f47858000000083c300,1.95,8.05,8.05,3.1,6.0,2.0,6.777629394529999,6.03
4c0f474640c5d85fd0c4c10515eac441396dd6c46279209e80000000,2.63,8.03,8.03,3.1,3.0,3.0,13.826531982399999,5.06
c5bd5c6540f34d0f2af1c4432d02e82a41c1e8004883f82a,1.8,5.04,5.04,2.12,2.0,2.0,3.26465545654,4.04
c4e2c9a9e4c4e2313dd2c4e37d19b6800000002af3410f5ee6c4416515f3,6.7,18.03,18.03,18.03,15.0,7.0,16.3264782715,6.04
